ESD No	ESD Name	District-County Code	District name	Mailing AddressLine1	Mailing  AddressLine2	Mailing City	Mailing  State	Mailing  ZipCode	Physical AddressLine1	Physical  AddressLine2	Physical City	Physical  State	Physical  ZipCode	Superintendent Name	phone
4801	North Central Educational Service District 171	24111	Brewster School District	P.O. Box 97		Brewster	Washington	98812	503 S 7TH ST		BREWSTER	Washington	98812-0097	Eric Driessen	509.689.3418
4801	North Central Educational Service District 171	9075	Bridgeport School District	PO BOX 1060		BRIDGEPORT	Washington	98813-1060	1300 DOUGLAS AVE		BRIDGEPORT	Washington	98813-1060	Scott Sattler	509.686.5656
18801	Olympic Educational Service District 114	16046	Brinnon School District	46 SCHOOLHOUSE RD		BRINNON	Washington	98320-9651	46 SCHOOLHOUSE RD		BRINNON	Washington	98320-9651	Wally Lis	360.796.4646
29801	Northwest Educational Service District 189	29100	Burlington-Edison School District	927 E FAIRHAVEN AVE		BURLINGTON	Washington	98233-1900	927 E FAIRHAVEN AVE		BURLINGTON	Washington	98233-1900	Laurel Browning	360.757.3311
6801	Educational Service District 112	6117	Camas School District	841 NE 22nd AVE		CAMAS	Washington	98607-1148	841 NE 22nd Ave		CAMAS	Washington	98607-1148	Mike Nerland	360.335.3000
18801	Olympic Educational Service District 114	5401	Cape Flattery School District	PO BOX 109	13-193 HWY 112	SEKIU	Washington	98381-9747	13193 HWY 112		SEKIU	Washington	98381-9747	Kandy Ritter	360.963.2056
17801	Puget Sound Educational Service District 121	27019	Carbonado School District	PO BOX 131		CARBONADO	Washington	98323-0131	427 4TH ST		CARBONADO	Washington	98323-0131	Scott Hubbard	(360) 829-0121
4801	North Central Educational Service District 171	4228	Cascade School District	330 EVANS ST		LEAVENWORTH	Washington	98826-1244	330 EVANS ST		LEAVENWORTH	Washington	98826-1244	Steve McKenna	509.548.5885
4801	North Central Educational Service District 171	4222	Cashmere School District	210 S DIVISION ST		CASHMERE	Washington	98815-1133	210 S DIVISION ST		CASHMERE	Washington	98815-1133	Glenn Johnson	509.782.3355
6801	Educational Service District 112	8401	Castle Rock School District	600 HUNTINGTON AVE S		CASTLE ROCK	Washington	98611-8901	600 HUNTINGTON AVE S		CASTLE ROCK	Washington	98611-8901	Susan Barker	360.501.2940
6801	Educational Service District 112	20215	Centerville School District	2315 CENTERVILLE HWY		CENTERVILLE	Washington	98613-3021	2315 CENTERVILLE HWY		CENTERVILLE	Washington	98613-3021	Mike  Lindhe	509.773.4893
18801	Olympic Educational Service District 114	18401	Central Kitsap School District	PO BOX 8		SILVERDALE	Washington	98383-9197	9210 SILVERDALE WAY NW		SILVERDALE	Washington	98383-9197	Gregory Lynch	360.662.3100
32801	Educational Service District 101	32356	Central Valley School District	19307 E CATALDO AVE		GREENACRES	Washington	99016-9404	19307 E CATALDO AVE		GREENACRES	Washington	99016-9404	Ben Small	509.228.5406
34801	Educational Service District 113	21401	Centralia School District	PO BOX 610		CENTRALIA	Washington	98531-0610	2320 BORST AVE		CENTRALIA	Washington	98531-0610	Steve Bodnar	360 330-7600
34801	Educational Service District 113	21302	Chehalis School District	310 SW 16TH ST		CHEHALIS	Washington	98532-3809	310 SW 16TH ST		CHEHALIS	Washington	98532-3809	Ed Rothlin	360.807.7200
32801	Educational Service District 101	32360	Cheney School District	520 4TH ST		CHENEY	Washington	99004-1695	520 4TH ST		CHENEY	Washington	99004-1695	Debra Clemens	509.559.4500
32801	Educational Service District 101	33036	Chewelah School District	PO BOX 47	N. 210 Park Street	Chewelah	Washington	99109-8970	210 N PARK ST		CHEWELAH	Washington	99109-8970	RICHARD LINEHAN	509.685.6800
18801	Olympic Educational Service District 114	16049	Chimacum School District	PO BOX 278		CHIMACUM	Washington	98325-0278	91 W VALLEY RD		CHIMACUM	Washington	98325-0278	Craig Downs	360.732.4090 ext.273
11801	Educational Service District 123	2250	Clarkston School District	PO BOX 70		CLARKSTON	Washington	99403-2557	1294 CHESTNUT AVE		CLARKSTON	Washington	99403-2557	Darcey Weisner	509.758.2531
39801	Educational Service District 105	19404	Cle Elum-Roslyn School District	2690 STATE ROUTE 903		CLE ELUM	Washington	98922-8704	2690 STATE ROUTE 903		CLE ELUM	Washington	98922-8704	Mark Flatau	509.649.4850
17801	Puget Sound Educational Service District 121	27400	Clover Park School District	10903 GRAVELLY LAKE DR SW		LAKEWOOD	Washington	98499-1341	10903 GRAVELLY LAKE DR SW		LAKEWOOD	Washington	98499-1341	Debbie LeBeau	253.583.5190
32801	Educational Service District 101	38300	Colfax School District	1110 N MORTON ST		COLFAX	Washington	99111-2198	1110 N MORTON ST		COLFAX	Washington	99111-2198	Michael Morgan	509.397.3042
11801	Educational Service District 123	36250	College Place School District	1755 S College Ave		COLLEGE PLACE	Washington	99324-1175	1755 S College Ave		COLLEGE PLACE	Washington	99324-1175	Tim Payne	509.525.4827
32801	Educational Service District 101	38306	Colton School District	706 Union		COLTON	Washington	99113	706 UNION		COLTON	Washington	99113-0109	C Foley	(509) 229-3385
32801	Educational Service District 101	33206	Columbia (Stevens) School District	PO BOX 7		HUNTERS	Washington	99137-0007	HILLTOP DR #1		HUNTERS	Washington	99137-0007	Chuck Wyborney	509.722.3311
11801	Educational Service District 123	36400	Columbia (Walla Walla) School District	755 MAPLE ST		BURBANK	Washington	99323-0548	755 MAPLE ST		BURBANK	Washington	99323-0548	Louis Gates	509.547.2136
32801	Educational Service District 101	33115	Colville School District	217 S HOFSTETTER ST		COLVILLE	Washington	99114-3239	217 S HOFSTETTER ST		COLVILLE	Washington	99114-3239	Michael  Cashion	509.684.7850
29801	Northwest Educational Service District 189	29011	Concrete School District	45389 AIRPORT WAY RM 103		CONCRETE	Washington	98237-9355	45389 AIRPORT WAY RM 103		CONCRETE	Washington	98237-9355	Barbara  Hawkings	360.853-8141
29801	Northwest Educational Service District 189	29317	Conway School District	19710 STATE ROUTE 534		MOUNT VERNON	Washington	98274-8026	19710 STATE ROUTE 534		MOUNT VERNON	Washington	98274-8026	Kenneth Axelson	360.445.5785
34801	Educational Service District 113	14099	Cosmopolis School District	PO BOX 479 - Mailing	1439 4th Street - Physical	COSMOPOLIS	Washington	98537	1439 FOURTH		COSMOPOLIS	Washington	98537-0479	Tami Hickle	360.532.7181
4801	North Central Educational Service District 171	13151	Coulee-Hartline School District	PO BOX 428		COULEE CITY	Washington	99115-0428	410 W LOCUST ST		COULEE CITY	Washington	99115-0428	James Evans	509.632.5231
29801	Northwest Educational Service District 189	15204	Coupeville School District	2 S Main St		Coupeville	Washington	98239	2 S MAIN ST		COUPEVILLE	Washington	98239-3518	Karen Koschak	360.678.4522
18801	Olympic Educational Service District 114	5313	Crescent School District	PO BOX 20		JOYCE	Washington	98343-0020	50350 HWY 112		JOYCE	Washington	98343-0020	Clayton Mork	360.928.3311
32801	Educational Service District 101	22073	Creston School District	PO BOX 17		CRESTON	Washington	99117-0017	485 SE E ST		CRESTON	Washington	99117-0017	William Wadlington	509.636.2721
32801	Educational Service District 101	10050	Curlew School District	PO BOX 370		CURLEW	Washington	99118-9748	47 CURLEW SCHOOL RD		CURLEW	Washington	99118-9748	Steve Mccullough	509.779.4931
32801	Educational Service District 101	26059	Cusick School District	305 MONUMENTAL WAY		CUSICK	Washington	99119-9761	305 MONUMENTAL WAY		CUSICK	Washington	99119-9761	Dan Read	(509) 445-1125
39801	Educational Service District 105	19007	Damman School District	3600 UMPTANUM RD		ELLENSBURG	Washington	98926-8747	3600 UMPTANUM RD		ELLENSBURG	Washington	98926-8747	Marsha Smith	509.962.9079
29801	Northwest Educational Service District 189	31330	Darrington School District	PO BOX 27		DARRINGTON	Washington	98241-0027	1065 FIR ST		DARRINGTON	Washington	98241-0027	Dave Holmer	360.436.1323
32801	Educational Service District 101	22207	Davenport School District	801 7th Street		DAVENPORT	Washington	99122-9548	801 7th Street		DAVENPORT	Washington	99122-9548	James Kowalkowski	509.725.1481
11801	Educational Service District 123	7002	Dayton School District	609 S 2ND ST		DAYTON	Washington	99328-1572	609 S 2ND ST		DAYTON	Washington	99328-1572	Doug Johnson	509.382.2543
32801	Educational Service District 101	32414	Deer Park School District	P.O. BOX 490		DEER PARK	Washington	99006-0490	N. 428 Main		DEER PARK	Washington	99006	Becky Berg	509.464.5500
17801	Puget Sound Educational Service District 121	27343	Dieringer School District	1320 178TH AVE E		Lake Tapps	Washington	98391	1320 178TH AVE E		SUMNER	Washington	98390-6411	Judy Neumeier-Martinson	(253) 862-2537
11801	Educational Service District 123	36101	Dixie School District	PO BOX 40		DIXIE	Washington	99329-0040	HWY 12 & BISCUIT RIDGE RD		DIXIE	Washington	99329-0040	Mark Wegner	509.525.5339
32801	Educational Service District 101	32361	East Valley School District (Spokane)	12325 E GRACE AVE		SPOKANE	Washington	99216-3716	12325 E GRACE AVE		SPOKANE	Washington	99216-3716	John Glenewinkel	509.924.1830
39801	Educational Service District 105	39090	East Valley School District (Yakima)	2002 BEAUDRY RD		YAKIMA	Washington	98901-8012	2002 BEAUDRY RD		YAKIMA	Washington	98901-8012	John Schieche	509.573.7320
4801	North Central Educational Service District 171	9206	Eastmont School District	460 9TH ST NE		EAST WENATCHEE	Washington	98802-4443	460 9TH ST NE		EAST WENATCHEE	Washington	98802-4443	Garn Christensen	509-884-7169
39801	Educational Service District 105	19028	Easton School District	PO BOX 8		EASTON	Washington	98925-0008	1893 RAILROAD ST		EASTON	Washington	98925-0008	Patrick Dehuff	509.656.2317
17801	Puget Sound Educational Service District 121	27404	Eatonville School District	PO BOX 698		EATONVILLE	Washington	98328-0698	200 LYNCH ST W		EATONVILLE	Washington	98328-0698	Rich Stewart	360.879.1000
29801	Northwest Educational Service District 189	31015	Edmonds School District	20420 68TH AVE W		LYNNWOOD	Washington	98036-7400	20420 68TH AVE W		LYNNWOOD	Washington	98036-7400	Nick Brossoit	425.431.7003
39801	Educational Service District 105	19401	Ellensburg School District	1300 E 3RD AVE		ELLENSBURG	Washington	98926-3576	1300 E 3RD AVE		ELLENSBURG	Washington	98926-3576	NULL	NULL
34801	Educational Service District 113	14068	Elma School District	1235 MONTE ELMA RD		ELMA	Washington	98541-9038	1235 MONTE ELMA RD		ELMA	Washington	98541-9038	Howard King	360.482.2822
32801	Educational Service District 101	38308	Endicott School District	308 SCHOOL DR		ENDICOTT	Washington	00009-9125	308 SCHOOL DR		ENDICOTT	Washington	00009-9125	Gary Wargo	509.657.3523
4801	North Central Educational Service District 171	4127	Entiat School District	2650 ENTIAT WAY		ENTIAT	Washington	98822-9710	2650 ENTIAT WAY		ENTIAT	Washington	98822-9710	Michael Wyant	509.784.1800
17801	Puget Sound Educational Service District 121	17216	Enumclaw School District	2929 MCDOUGALL AVE		ENUMCLAW	Washington	98022-7499	2929 MCDOUGALL AVE		ENUMCLAW	Washington	98022-7499	Michael Nelson	360.802.7103
4801	North Central Educational Service District 171	13165	Ephrata School District	499 C ST NW		EPHRATA	Washington	98823-1690	499 C ST NW		EPHRATA	Washington	98823-1690	Jerry Simon	509.754.2474
34801	Educational Service District 113	21036	Evaline School District	111 SCHOOLHOUSE RD		WINLOCK	Washington	98596-9718	111 SCHOOLHOUSE RD		WINLOCK	Washington	98596-9718	George  Crawford	360.785.3460
29801	Northwest Educational Service District 189	31002	Everett School District	PO BOX 2098		EVERETT	Washington	98213-2999	4730 COLBY AVE		EVERETT	Washington	98203-2999	Gary Cohn	425.385.4016
6801	Educational Service District 112	6114	Evergreen School District (Clark)	PO BOX 8910		VANCOUVER	Washington	98668-8910	13501 NE 28TH ST		VANCOUVER	Washington	98668-8910	John Deeder	360.604.4005
32801	Educational Service District 101	33205	Evergreen School District (Stevens)	3341 ADDY GIFFORD RD		GIFFORD	Washington	99131-9701	3341 ADDY GIFFORD RD		GIFFORD	Washington	99131-9701	Bill Glidewell	509.722.6084
17801	Puget Sound Educational Service District 121	17210	Federal Way School District	33330 8th AVE S		FEDERAL WAY	Washington	98003-5433	33330 8th AVE S		FEDERAL WAY	Washington	98003-5433	Robert Neu	253.945.2000
29801	Northwest Educational Service District 189	37502	Ferndale School District	PO Box 698		FERNDALE	Washington	98248-9317	PO Box 698		FERNDALE	Washington	98248-9317	Linda Quinn	360.383.9207
17801	Puget Sound Educational Service District 121	27417	Fife School District	5802 20TH ST E		TACOMA	Washington	98424-2000	5802 20TH ST E		TACOMA	Washington	98424-2000	Stephen Mccammon	(253) 284-1000
11801	Educational Service District 123	3053	Finley School District	224606 E GAME FARM RD		KENNEWICK	Washington	99337-8623	224606 E GAME FARM RD		KENNEWICK	Washington	99337-8623	Lance Hahn	509.586.3217
17801	Puget Sound Educational Service District 121	27402	Franklin Pierce School District	315 129TH ST S		TACOMA	Washington	98444-5099	315 129TH ST S		TACOMA	Washington	98444-5099	Frank Hewins	253.298.3000
32801	Educational Service District 101	32358	Freeman School District	15001 S JACKSON RD		ROCKFORD	Washington	99030-9755	15001 S JACKSON RD		ROCKFORD	Washington	99030-9755	Randy Russell	509.291.3695
32801	Educational Service District 101	38302	Garfield School District	PO BOX 398		GARFIELD	Washington	99130-0398	810 N THIRD ST		GARFIELD	Washington	99130-0398	Zane  Wells	509.635.1331
6801	Educational Service District 112	20401	Glenwood School District	PO BOX 12		GLENWOOD	Washington	98619-0012	320 BUNNELL ST		GLENWOOD	Washington	98619-0012	Shane Couch	509.364.3438
39801	Educational Service District 105	20404	Goldendale School District	604 E. BROOKS ST		GOLDENDALE	Washington	98620	604 E. BROOKS ST		GOLDENDALE	Washington	98620	MARK HEID	509 773 5177
4801	North Central Educational Service District 171	13301	Grand Coulee Dam School District	110 Stevens Ave.		COULEE DAM	Washington	99116-1503	110 STEVENS AVE		COULEE DAM	Washington	99116-1503	Dennis Carlson	509.633.2143
39801	Educational Service District 105	39200	Grandview School District	913 W 2ND ST		GRANDVIEW	Washington	98930-1202	913 W 2ND ST		GRANDVIEW	Washington	98930-1202	Kevin Chase	509.882.8500
39801	Educational Service District 105	39204	Granger School District	701 E AVE		GRANGER	Washington	98932-0400	701 E AVE		GRANGER	Washington	98932-0400	Margarita Lopez	509.854.1515
29801	Northwest Educational Service District 189	31332	Granite Falls School District	205 North Alder Avenue		GRANITE FALLS	Washington	98252-8908	205 N ALDER AVE		GRANITE FALLS	Washington	98252	Linda Hall	360.691.7717
34801	Educational Service District 113	23054	Grapeview School District	822 E MASON BENSON RD		GRAPEVIEW	Washington	98546-9514	822 E MASON BENSON RD		GRAPEVIEW	Washington	98546-9514	Donald Brannam	360.426.4921
32801	Educational Service District 101	32312	Great Northern School District	3115 N SPOTTED RD		SPOKANE	Washington	99224-8921	3115 N SPOTTED RD		SPOKANE	Washington	99224-8921	Glenn Frizzell	(509) 747-7714
6801	Educational Service District 112	6103	Green Mountain School District	13105 NE GRINNELL RD		WOODLAND	Washington	98674-3808	13105 NE GRINNELL RD		WOODLAND	Washington	98674-3808	Joe Jones	360.225.7366
34801	Educational Service District 113	34324	Griffin School District	6530 33RD AVE NW		OLYMPIA	Washington	98502-9599	6530 33RD AVE NW		OLYMPIA	Washington	98502-9599	Greg Woods	360.866.2515 ext.105
32801	Educational Service District 101	22204	Harrington School District	PO BOX 204		HARRINGTON	Washington	99134-0248	100 S 1ST ST		HARRINGTON	Washington	99134-0248	Monte Swenson	509.253.4331
39801	Educational Service District 105	39203	Highland School District	PO BOX 38		COWICHE	Washington	98923-0038	17000 SUMMITVIEW RD		COWICHE	Washington	98923-0038	Mark Anderson	509.678.7209
17801	Puget Sound Educational Service District 121	17401	Highline School District	15675 AMBAUM BLVD SW		BURIEN	Washington	98166-0100	15675 AMBAUM BLVD SW		BURIEN	Washington	98166-0100	Susan Enfield	206.433.2217
6801	Educational Service District 112	6098	Hockinson School District	17912 NE 159TH ST		BRUSH PRAIRIE	Washington	98606-9765	17912 NE 159TH ST		BRUSH PRAIRIE	Washington	98606-9765	Sandra Yager	360.448.6400
34801	Educational Service District 113	23404	Hood Canal School District	111 N STATE ROUTE 106		SHELTON	Washington	98584-9703	111 N STATE ROUTE 106		SHELTON	Washington	98584-9703	Shawn Batstone	360.877.5463
34801	Educational Service District 113	14028	Hoquiam School District	305 SIMPSON AVE		HOQUIAM	Washington	98550-2419	305 SIMPSON AVE		HOQUIAM	Washington	98550-2419	Mike Parker	360.538.8200
32801	Educational Service District 101	10070	Inchelium School District	PO BOX 285		INCHELIUM	Washington	99138-0285	1 HORNET AVE		INCHELIUM	Washington	99138-0285	Ron Washington	(509) 722-6181
29801	Northwest Educational Service District 189	31063	Index School District	PO BOX 237		INDEX	Washington	98256-0237	436 INDEX AVE		INDEX	Washington	98256-0237	Linda Tate	360.793.1330
17801	Puget Sound Educational Service District 121	17411	Issaquah School District	565 NW HOLLY ST		ISSAQUAH	Washington	98027-2899	565 NW HOLLY ST		ISSAQUAH	Washington	98027-2899	Steve Rasmussen	425.837.7002
11801	Educational Service District 123	11056	Kahlotus School District	PO BOX 69		KAHLOTUS	Washington	99335-0069	100 W MARTIN ST		KAHLOTUS	Washington	99335-0069	Sergio Hernandez	509.282.3338
6801	Educational Service District 112	8402	Kalama School District	548 CHINA GARDEN RD		KALAMA	Washington	98625-9764	548 CHINA GARDEN RD		KALAMA	Washington	98625-9764	Jim Sutton	360.673.5282
32801	Educational Service District 101	10003	Keller School District	PO BOX 367	17 South School Road	KELLER	Washington	99140-0367	17 South School Road		KELLER	Washington	99140-0367	David Iverson	509.634.4325
32801	Educational Service District 101	10003	Keller School District	PO BOX 367	17 South School Road	KELLER	Washington	99140-0367	17 South School Road		KELLER	Washington	99140-0367	Gary Greene	509.634.4325
6801	Educational Service District 112	8458	Kelso School District	601 CRAWFORD ST		KELSO	Washington	98626-4398	601 CRAWFORD ST		KELSO	Washington	98626-4398	Robert MacGregor	360.501.1927
11801	Educational Service District 123	3017	Kennewick School District	1000 W. 4th Avenue		KENNEWICK	Washington	99336-5601	1000 W. 4th Avenue		KENNEWICK	Washington	99336-5601	Dave Bond	509.222.5020
17801	Puget Sound Educational Service District 121	17415	Kent School District	12033 SE 256TH ST		KENT	Washington	98031-6643	12033 SE 256TH ST		KENT	Washington	98031-6643	Edward Lee Vargas	253.373.7701
32801	Educational Service District 101	33212	Kettle Falls School District	PO BOX 458		KETTLE FALLS	Washington	99141-0458	S 735 MEYERS		KETTLE FALLS	Washington	99141-0458	Greg Goodnight	509.738.6625
11801	Educational Service District 123	3052	Kiona-Benton City School District	1107 GRACE AVE		BENTON CITY	Washington	99320-9704	1107 GRACE AVE		BENTON CITY	Washington	99320-9704	Rom Castilleja	509.588.2001
39801	Educational Service District 105	19403	Kittitas School District	PO BOX 599		KITTITAS	Washington	98934-0599	N PIERCE ST		KITTITAS	Washington	98934-0599	Monty Sabin	509.968.3115
6801	Educational Service District 112	20402	Klickitat School District	PO BOX 37		KLICKITAT	Washington	98628-0037	98 SCHOOL DRIVE		KLICKITAT	Washington	98628-0037	Jerry Lynch	(509) 369-4145
6801	Educational Service District 112	6101	La Center School District	PO BOX 1840		LA CENTER	Washington	98629-5507	725 HIGHLAND ROAD		LA CENTER	Washington	98629-5507	Mark Mansell	360.263.2131
29801	Northwest Educational Service District 189	29311	La Conner School District	PO BOX 2103		LA CONNER	Washington	98257-2103	305 N 6TH ST		LA CONNER	Washington	98257-2103	Tim Bruce	(360) 466-3171
32801	Educational Service District 101	38126	LaCrosse School District	111 Hill Ave.		LACROSSE	Washington	99143	111 Hill Ave.		LACROSSE	Washington	99143	Gary Wargo	(509) 549-3591
4801	North Central Educational Service District 171	4129	Lake Chelan School District	PO BOX 369		CHELAN	Washington	98816-0369	303 E JOHNSON AVE		CHELAN	Washington	98816-0369	Rob Manahan	509.682.3515
34801	Educational Service District 113	14097	Lake Quinault School District	PO BOX 38		AMANDA PARK	Washington	98526-0038	6130 HWY 101 N		AMANDA PARK	Washington	98526-0038	Richard DuBois	360.288.2260
29801	Northwest Educational Service District 189	31004	Lake Stevens School District	12309 22ND ST NE		LAKE STEVENS	Washington	98258	12309 22ND ST NE		LAKE STEVENS	Washington	98258	Amy Beth Cook	425.335.1500
17801	Puget Sound Educational Service District 121	17414	Lake Washington School District	PO BOX 97039		REDMOND	Washington	98073-9739	16250 NE 74TH ST		REDMOND	Washington	98052	Traci Pierce	425.936.1256
29801	Northwest Educational Service District 189	31306	Lakewood School District	PO BOX 220		NORTH LAKEWOOD	Washington	98259-0220	17110 16TH DR NE		NORTH LAKEWOOD	Washington	98259-0220	Dennis Haddock	360.652.4500
32801	Educational Service District 101	38264	Lamont School District	602 MAIN ST		LAMONT	Washington	99017-8769	602 MAIN ST		LAMONT	Washington	99017-8769	Joe Whipple	509.257.2463
32801	Educational Service District 101	32362	Liberty School District	29818 S NORTH PINE CREEK RD		SPANGLE	Washington	99031-9797	29818 S NORTH PINE CREEK RD		SPANGLE	Washington	99031-9797	Bill Motsenbocker	509.624.4415
32801	Educational Service District 101	1158	Lind School District	PO BOX 340		LIND	Washington	99341-0340	206 W THIRD ST		LIND	Washington	99341-0340	Robert Roettger	509.677.3481
6801	Educational Service District 112	8122	Longview School District	2715 LILAC ST		LONGVIEW	Washington	98632-3596	2715 LILAC ST		LONGVIEW	Washington	98632-3596	Suzanne Cusick	360.575.7016
32801	Educational Service District 101	33183	Loon Lake School District	4001 MAPLE ST		LOON LAKE	Washington	99148-9761	4001 MAPLE ST		LOON LAKE	Washington	99148-9761	Steven Waunch	(509) 233-2212
29801	Northwest Educational Service District 189	28144	Lopez School District	86 SCHOOL RD		LOPEZ ISLAND	Washington	98261-8000	86 SCHOOL RD		LOPEZ ISLAND	Washington	98261-8000	Bill Evans	360.468.2202
6801	Educational Service District 112	20406	Lyle School District	PO BOX 368		LYLE	Washington	98635-0009	625 KEASEY STREET		LYLE	Washington	98635-0009	Glenys Hill	509.365.2191
29801	Northwest Educational Service District 189	37504	Lynden School District	1203 BRADLEY RD		LYNDEN	Washington	98264-9514	1203 BRADLEY RD		LYNDEN	Washington	98264-9514	James Frey	360.354.4443
39801	Educational Service District 105	39120	Mabton School District	PO BOX 37		MABTON	Washington	98935-0037	306 N MAIN		MABTON	Washington	98935-0037	Minera Morales	509.894.4852
4801	North Central Educational Service District 171	9207	Mansfield School District	PO BOX 188		MANSFIELD	Washington	98830-0188	491 RD 14NE		MANSFIELD	Washington	98830-0188	Eugene Nelson	509.683.1012
4801	North Central Educational Service District 171	4019	Manson School District	PO BOX A		MANSON	Washington	98831-9668	312 N QUETILQUASOON RD		MANSON	Washington	98831-9668	Matt Charlton	509.687.3140
34801	Educational Service District 113	23311	Mary M Knight School District	2987 W MATLOCK BRADY RD		ELMA	Washington	98541-9713	2987 W MATLOCK BRADY RD		ELMA	Washington	98541-9713	Beth Daneker	360.426.6767
32801	Educational Service District 101	33207	Mary Walker School District	PO BOX 159		SPRINGDALE	Washington	99173-0159	500 N 4TH		SPRINGDALE	Washington	99173-0159	Kevin Jacka	509.258.4534
29801	Northwest Educational Service District 189	31025	Marysville School District	4220 80th St. NE		Marysville	Washington	98270	4220 80TH ST NE		MARYSVILLE	Washington	98270-3498	Larry Nyland	(360) 653-0800
34801	Educational Service District 113	14065	McCleary School District	611 S MAIN ST		MCCLEARY	Washington	98557-9524	611 S MAIN ST		MCCLEARY	Washington	98557-9524	Dan Bolender	360.495.3204
32801	Educational Service District 101	32354	Mead School District	12828 N NEWPORT HWY		MEAD	Washington	99021-9690	12828 N NEWPORT HWY		MEAD	Washington	99021-9690	Tom Rockefeller	509.465.6014
32801	Educational Service District 101	32326	Medical Lake School District	PO BOX 128		MEDICAL LAKE	Washington	99022-0128	116 W THIRD ST		MEDICAL LAKE	Washington	99022-0128	Pam Veltri	509.565.3100
17801	Puget Sound Educational Service District 121	17400	Mercer Island School District	4160 86TH AVE SE		MERCER ISLAND	Washington	98040-4196	4160 86TH AVE SE		MERCER ISLAND	Washington	98040-4196	Gary Plano	206.236.3300
29801	Northwest Educational Service District 189	37505	Meridian School District	214 W LAUREL RD		BELLINGHAM	Washington	98226-9623	214 W LAUREL RD		BELLINGHAM	Washington	98226-9623	Tom Churchill	360.398.7111
4801	North Central Educational Service District 171	24350	Methow Valley School District	18 TWIN LAKES RD		WINTHROP	Washington	98862-9713	18 TWIN LAKES RD		WINTHROP	Washington	98862-9713	Mark Wenzel	509.996.9205
