County	Public School District	School Name	School Bldg Number	Administrator	Address	City	State	Zip	Phone Number	Email Address	Web Site Address	Grade	Profit/Non-Profit	Accredited
Spokane	Mead	Can Learn Christian Academy (formerly Can Learn Academy  2012)	1402	Carli Robinson	"905 E Hastings Rd
(Mail: PO Box 9233 
Spokane 99208-9233)"	Spokane	WA	99218	509.362.3418	canlearnacademy@gmail.com	www.kidscanlearn.net	K-12	NP	
Kitsap	Bainbridge Island	Carden Country School	8927	Christopher Harvey	6974 Island Center Rd NE                                (Mail: PO Box 10160                        Bainbridge 98110-1618)	Bainbridge Island	WA	98110-1618	206.842.2721	admin@cardencountryschool.org	www.cardencountryschool.com	K-12	NP	
King	Vashon Island	"Carpe Diem Primary School, Inc."	8957	Janice Campbell	"10014 SW Bank Rd                   (Mail: PO Box 141             
Vashon Island 98070-0141)"	Vashon	WA	98070-4646	206.375.8898	carpediemps@comcast.net	www.carpediemps.com	K-3	P	
Chelan	Wenatchee 	Cascade Christian Academy	8005	Brian Harris	600 N Western Ave	Wenatchee	WA	98801-1204	509.662.2723	brian.harris@ccawenatchee.org	www.ccawenatchee.org	P-12	NP	NWAC
Pierce	Puyallup	Cascade Christian Junior High and High School (formerly Cascade Christian Schools-Junior/Senior High School) (2009)	8237	Dr. Glenna Frederick	811 21st St SE	Puyallup	WA	98372-4760	253.445.9706	glenna@cascadechristianschool.org 	www.cascadechristian.org	7-12	NP	ACSI
Pierce	Puyallup	Cascade Christian School-Puyallup Elementary	8757	Terry Broberg	601 9th Ave SE     Suite B	Puyallup	WA	98372-3832	253.841.1776	terry@cascadechristianschool.org 	www.cascadechristian.org	K-6	NP	ACSI
Pierce	Bethel	Cascade Christian Schools-Fredrickson Elementary (correction of spelling) (2009)	8829	Debi Boyd	3425 176th St E	Tacoma	WA	98446-1209	253.537.9339	debi@cascadechristianschool.org	www.cascadechristian.org	P-6	NP	ACSI
Pierce	Tacoma	Cascade Christian Schools-Tacoma Elementary	8566	Lisa Metzger	1819 E 72nd St	Tacoma	WA	98404-5406	253.841.1776	lisam@cascadechristian.org	www.cascadechristian.org	P-6	NP	ACSI
King	Enumclaw	Cascade Independent High School	8124	Joel D. Black	1849 Marshall Ave	Enumclaw	WA	98022-3106	360.825.0865	joelblack@byu.net		5-12	P	
King	Lake Washington	Cascadia Montessori School	8470	Marilyn J. Franklin	4239 162nd Ave NE	Redmond	WA	98052-5469	425.881.2885	mfranklin@cascadiamontessori.com	www.cascadiamontessori.com	K-4	P	
Clark	Evergreen 114	Cascadia School	8969	Susan Taylor	10606 NE 14th St	Vancouver	WA	98664-4304	360.944.8096	cascadiaadmin@gmail.com	cascadiaschool.org	1-8	NP	
Spokane	Spokane	Cataldo School	8191	Stephanie Johnson	455 W 18th Ave	Spokane	WA	99203-2099	509.624.8759	sjohnson@dioceseofspokane.org	www.cataldo.org	P-8	NP	NWAC
King	Lake Washington	Cedar Crest Academy	800U	Jodi Hillbrandt-Johnson	10406 NE 37th Circle	Kirkland	WA	98033-7924	425.889.1111	jodi@cedarcrestacademy.org	www.cedarcrestacademy.org	P-2	P	
King	Northshore	Cedar Park Christian School	8771	Dr. Clinton Behrends	16300 112th Ave NE	Bothell	WA	98011-1535	425.488.9778	clint.b@cedarpark.org	www.cpcsschools.com	P-12	NP	NWAC
King	Bellevue	Cedar Park Christian School--Bellevue Campus (formerly Neighborhood Christian School) (2010)	8665	Dr. Clint Behrends/Susan Zirschky	625 140th Ave NE	Bellevue	WA	98005-3498	425.746.3258	susan.zirschky@cedarpark.org	www.cpcsschools.com	P-5	NP	NWAC
Snohomish	Everett	Cedar Park Christian School—Everett Campus    (formerly Cedar Park Christian School) (2010)	8537	"Dr. Clint Behrends
Curt Frunz"	"13000 21st Dr SE                               (mail: PMB 641 13300 Bothell-Everett Hwy                 
Mill Creek  98012-5312)"	Everett	WA	98208-7103	425.337.6992	curt.f@cedarpark.org	www.cpcsschools.com	P-8	NP	NWAC
Snohomish	Edmonds	Cedar Park Christian School--Lynnwood Campus (Formerly North Sound Christian Schools-Lynnwood Campus) (2009)	8660	Clint Behrends/Jan Isakson	17931 64th Ave W	Lynnwood	WA	98037-7106	425.742.9518	"clint.b@cedarpark.org
jan.isakson@cedarpark.org"	www.cpcsschools.com	P-6	NP	ACSI
Snohomish	Edmonds	Cedar Park Christian School--Mountlake Terrace Campus  (formerly North Sound Christian Schools-Jr/Sr High Campus) (2009)	8935	Patrick Russell	23607 54th Ave W	Mountlake Terrace	WA	98043-5238	425.774.7773	patrick.russell@cedarpark.org	www.cpcsschools.com	7-12	NP	ACSI
King	Enumclaw	Cedar River Academy	1439	Roger A. Franklin	"3333 Griffin Ave                                                 
(Mail: 42022 196th Ave SE            
Enumclaw 98022)"	Enumclaw	WA	98022-8321	360.825.8080	info@cedarriveracademy.com                        roger.franklin@skynetbb.com	www.cedarriveracademy.com	P-8	P	
King	Tahoma	Cedar River Montessori School	8620	Charis Sharp	15828 SE Jones Rd	Renton	WA	98058-8141	425.271.9614	misschariscrms@comcast.net	http://www.cedarrivermontessori.org/	P-9	NP	
Clark	Battle Ground	Cedar Tree Classical Christian School (formerly Christian Classical School) (2009)	1487	Tom Bradshaw	20601 NE 29th Ave                  	Ridgefield	WA	98642-8675	360.887.0190	tbradshaw@cedartreeschool.org	www.cedartreeschool.org	K-12	NP	
Whatcom	Bellingham	Cedar Tree Montessori	8390	Kim Feerer	2114 Broadway Ave	Bellingham	WA	98225-3308	360.714.1762	Kim.feerer@cedar-tree.org	www.cedar-tree.org	1-6	NP	
Jefferson	Chimacum	Cedarbrook Adventist Christian School	8027	Gregory A. Reseck	"461 Kennedy Rd                                                 
(Mail: PO Box 150                       
Port Hadlock 98339-0150)"	Port Hadlock	WA	98339-9719	360.385.4610	greseck56@gmail.com	cedarbrookadventistschool.com	K-8	NP	SDA
Snohomish	Stanwood-Camano	Cedarhome Adventist Christian School	8468	Bob Marcus	28505 68th Ave NW	Stanwood	WA	98292-9401	360.629.5340	Bob.Marcus@att.net	www.cedarhomechristian.org	1-8	NP	SDA
Lewis	Centralia	Centralia Christian	8616	Mike Wilkerson	1315 South Tower Ave                               (Mail: PO Box 1209                           Centralia 98531-0726)	Centralia	WA	98531-2340	360.736.7657	mwilkerson@centraliachristianschool.org	www.centraliachristianschool.org	P-8	NP	
Pierce	University Place	Charles Wright Academy	8147	Robert Camner	7723 Chambers Creek Rd W	University Place	WA	98467-2099	253.620.8311	rcamner@charleswright.org	www.charleswright.org	P-12	NP	PNAIS
King	Bellevue	Chestnut Hill Academy South Campus	1463	Holly Senga	13633 SE 26th St	Bellevue	WA	98005-4209	425.372.2800	hsenaga@chestnuthillacademy.com	www.chestnuthillacademy.com	K-8	P	
King	Mercer Island	Child School-New Heights School at Children's Institute for Learning Differences (CHILD) (formerly Child School - New Heights School at Children's Inst)	8958	Dominic Jimenez	4030 86th Ave SE	Mercer Island	WA	98040-4198	206.232.8680 ext. 201	dominicj@childrensinstitute.com	www.childrensinstitute.com	P-12	NP	NWAC
Benton	Richland	Childrens Garden Montessori	8225	Laura Rumble	2440 Garlick Blvd	Richland	WA	99354-1786	509.375.1638	director.richland@childrensgardentricities.com		1-2	p	AMS
Kitsap	Central Kitsap	Christ the King Lutheran School	800E	Bruce Babler	8065 Chico Way NW	Bremerton	WA	98312-1049	360.692.8799	bruce_ctkls@donobi.net	www.ctk-wels.org	P-8	NP	
Benton	Richland	Christ the King School	8003	Nicole Anderson	1122 Long Ave	Richland	WA	99354-3315	509.946.6158	nanderson@ckschool.net	www.ckschoolrichland.org	P-8	NP	
King	Seattle	Christ the King School	8031	Anne Brand	415 N 117th St	Seattle	WA	98133-8309	206.364.6890	abrand@ckseattle.org	www.ckseattle.org	P-8	NP	WCEA
King	Federal Way	Christian Faith School	8772	Tom Puddy	33645 20th Ave S	Federal Way	WA	98003-7743	253.943.2500	tomp@christianfaithschool.com	www.christianfaithschool.com	P-12	NP	NWAC
Lincoln	Reardan-Edwall	Christian Heritage School	8696	Martin Klein	48009 Ida Ave E                                             (Mail: PO Box 118                             Edwall 99008-0118)	Edwall	WA	99008-8502	509.236.2224	chspatriots@centurytel.net	chspatriots.com	K-12	NP	
Yakima	Zillah	Christian Worship Center Elementary	8398	Judy Wangemann	"204 Cheyne Rd                    
(Mail: PO Box 747                    
Zillah 98953-0747)"	Zillah	WA	98953-9764	509.829.6965	school@cwczillah.org		P-12	NP	
King	Northshore	Chrysalis School	8766	Karen L. Fogle	18720 142nd Ave NE                (Mail: 14241 NE Woodinville Duvall Rd #243                          Woodinville 98072-8564)	Woodinville	WA	98072-8564	425.481.2228	karenf@chrysalis-school.com	www.chrysalis-school.com	9-12	P	NWAC
King	Northshore	Chrysalis School	8897	Karen L. Fogle	17005 140th Ave NE                                (Mail: 14241 NE Woodinville Duvall Rd  #243                   Woodinville 98072-8564)	Woodinville	WA	98072-6902	425.481.2228	karenf@chrysalis-school.com	chrysalis-school.com	K-8	P	NWAC
Clark	Battle Ground	Columbia Adventist Academy	8012	Matthew Butte	11100 NE 189th St	Battle Ground	WA	98604-9496	360.687.3161	Matthew.Butte@CAAschool.org	caaschool.org	9-12	NP	SDA
Stevens	Colville	Colville Valley Junior Academy	1477	Lisa Cook	139 E Cedar Lp	Colville	WA	99114-9237	509.684.6830	lisa.cook62410@gmail.com		1-8	NP	SDA
Thurston	North Thurston	Community Christian Academy	8311	Richard Graham	4706 Park Center Ave NE	Lacey	WA	98516-5338	360.493.2223	rgraham@foundationcampus.org	www.foundationcampus.org	P-8	NP	
Pierce	Tacoma	Community Montessori 	1496	CathyRaye Hyland	1407 South I St	Tacoma	WA	98405-5026	253.627.7554	cathyland@comcast.net	www.communitymontessori.net	P-8	NP	
King	Seattle	Concordia Lutheran School	8032	Lisa Meyer	7040 36th Ave NE	Seattle	WA	98115-5966	206.525.7407	email@concordiaseattle.com	www.concordiaseattle.com	P-8	NP	NLSA
Pierce	Tacoma	Concordia Lutheran School	8134	Allen Hagen	202 E 56th St	Tacoma	WA	98404-1298	253.475.9513	alhagen@concordiatacoma.com	www.concordiatacoma.com	P-8	NP	NLSA
Snohomish	Monroe	Cornerstone Academy	1464	Michelle Jones	14377 Fryelands Blvd SE        	Monroe	WA	98272-2917	425.892.3030	michelle.jones@thecornerstoneacademy.org	www.thecornerstoneacademy.org	P-7	NP	ACSI
Spokane	Spokane	Cornerstone Christian Academy	8868	David Kistler	4224 E 4th Ave	Spokane	WA	99202-5026	509.835.1235	drkistler@gmail.com	cchristianacademy.com	K-8	NP	NWAC
Clark	Evergreen 114	Cornerstone Christian School	8683	Steve Butler	7708 NE 78th St	Vancouver	WA	98662-3632	360.256.9715	sbutler@crossroadschurch.net	www.cornerstoneschool.com	K-8	NP	NWAC
Thurston	Olympia	Cornerstone Christian School	8966	Tricia Davis	5501 Wiggins Rd SE	Olympia	WA	98501-5057	360.923.0071	buddyandtricia@comcast.net	www.ccsoly.com	P-8	NP	
Whatcom	Lynden	Cornerstone Christian School	8587	Otto Bouwman	8872 Northwood Rd	Lynden	WA	98264-9363	360.318.0663	obouwman@cornerstoneschool.us	www.cornerstoneschool.us	1-12	NP	
King	Issaquah	Cougar Mountain Academy	8549	Donna R. Ballard	5410 194th Ave SE	Issaquah	WA	98027-8626	425.641.2800	cma@cougarmountainacademy.org	www.cougarmountainacademy.org	P-5	P	NWAC
King	Lake Washington	Countryside Montessori School	8858	Teresa S. Smith	13630 100th Ave NE Bldg 2	Kirkland	WA	98034-5200	425.823.2211	triesmith@hotmail.com	www.countrysidemontessorichildcarecenter.com	P-3	P	
Lincoln	Reardan-Edwall	Countryside SDA Elementary (Formerly Countryside School)   (2010)	8458	Phyllis Radu	12107 W Seven Mile Rd	Spokane	WA	99224-9315	509.466.8982	countrysidesda@gmail.com	http://www.csdae.org	K-8	NP	SDA
Whatcom	Lynden	Covenant Christian School	8474	Fred Hanko	9088 Northwood Rd	Lynden	WA	98264-9389	360.354.5436	ccslyndenwa@juno.com		K-8	NP	
Pierce	Tacoma	Covenant High School	8265	Richard Hannula	620 S Shirley St	Tacoma	WA	98465-2531	253.759.9570	dhannula@chstacoma.org	chstacoma.org	9-12	NP	ACSI
Grant	Moses Lake	Crestview Christian School	8658	Melissa Wallen	1601 W Valley Rd	Moses Lake	WA	98837-1466	509.765.4632	admin@crestviewadventist.org	www.crestviewadventist.org	K-9	NP	SDA
Kitsap	Central Kitsap	"Crosspoint Christian School (formerly Crosspoint Academy and formerly Kings West School) (2009, 2012)"	8367	Nick Sweeney	4012 Chico Way NW 	Bremerton	WA	98312-1334	206.546.7211	nick.sweeney@gatewaychristianschools.org	www.crosspointacademy.org	K-12	NP	NWAC
Snohomish	Edmonds	Cypress Adventist School	8164	Lowell Dunston	21500 Cypress Way  Suite A	Lynnwood	WA	98036-7999	425.775.3578	cypressadventist@hotmail.com	www.cypressschool.org	P-8	NP	SDA
King	Northshore	Dartmoor School--Bellevue 	8933	Jeffrey Woolley	"13401 Bel Red Road                          (Ad Off:  7735 178th Pl NE  Suite A                          
Redmond WA 98052)"	Bellevue	WA	98005-2322	425.603.1975	jeffreywoolley@dartmoor.org	www.dartmoorschool.org	1-12	P	NWAC
King	Issaquah	Dartmoor School--Issaquah	8337	Jeffrey Woolley	"22500 SE 64th Pl  #130            
(Mail: 7735 178th Pl NE,  Ste A       
Redmond 98052-4921)"	Issaquah	WA	98027-8111	425.603.1975	jeffreywoolley@dartmoor.org	www.dartmoor.org	1-12	P	NWAC
King	Seattle	Dartmoor School--Seattle	8066	Jeffrey Woolley	"9618 Roosevelt Way NE          
(Mail: 7735 178th Pl NE Ste A            
Redmond 98052-4921)"	Seattle	WA	98115-2236	425.603.0313	jeffreywoolley@dartmoor.org	www.dartmoor.org	1-12	P	NWAC
King	Northshore	Dartmoor School--Woodinville	8261	Jeffrey Woolley	"17305 139th Ave NE           
(Mail: 7735 178th Pl NE Ste A            
Redmond 98052-4921)"	Woodinville	WA	98072-8571	425.603.1975	jeffreywoolley@dartmoor.org	www.dartmoor.org	1-12	P	NWAC
Lincoln	Reardan-Edwall	Deep Creek Hutterian School	8122	Jason Everman	3610 North Wood Rd	Reardan	WA	99029-9619	509.299.5400 x 425	jjeverman@comcast.net		K-12	NP	
Island	Oak Harbor	Der Kinderhuis Montessori	8881	Kari A Sanders	900 SE Dock St	Oak Harbor	WA	98277-4063	360.675.4165	dkhllcdirector@yahoo.com	www.dkhmontessori.com	P-4	P	
Walla Walla	Walla Walla	DeSales Catholic School	8211	John Lesko	919 East Sumach	Walla Walla	WA	99362-1349 	509.525.3030	jlesko@wallawallacatholicschools.com	www.wallawallacatholicschools.com	9-12	NP	NWAC
Kitsap	Central Kitsap	Discovery Depot Montessori	1404	Constance Falconer	7333 Tracyton Blvd	Bremerton	WA	98311-9036	360.337.1400	conniefalconer@hotmail.com	discoverydepotmontessori.com	P-1	P	
Kitsap	Central Kitsap	Discovery Depot Montessori Schoolhouse	802B	Constance Falconer	"5550 Tracyton Blvd
(Mail: 7333 Tracyton Blvd
Bremerton WA 98311-9036)"	Bremerton	WA	98393-2386	360.337.1400	conniefalconer@hotmail.com	www.discoverydepotmontessori.com	P-3	P	
Kitsap	South Kitsap	Discovery Montessori	8346	Karen Nelson	1026 Sidney Ave  #160	Port Orchard	WA	98366-9036	360.337.5745	discoverymontessori@wavecable.com	www.discoverymontessori.org	P-8	P	
King	Northshore	Dolan Academy & Learning Center	801R	Janet Dolan	18500 156th Ave NE  Ste 204	Woodinville	WA	98072-4459	425.488.3587	janet@dolanlearning.com	www.dolanlearning.com	P-9	NP	NWAC
Thurston	Yelm	Eagle View Christian School	800V	Barbara Ballou	13036 Morris Rd SE	Yelm	WA	98597-9211	360.458.3090	bballou@ywave.com	www.eagleviewchristianschool.com	P-12	NP	
King	Bellevue	Eastside Academy	8476	Toni Esparza	1717 Bellevue Way NE                	Bellevue	WA	98004-2853	425.452.9920	tonie@eastsideacademy.org	www.eastsideacademy.org	9-12	NP	
